neurons,weight_decay,mean,std_dev
2,0.005,0.8406310597347957,0.050626372390695014
2,0.006,0.8447405177506451,0.048012035807570144
2,0.007,0.8449180302577608,0.04554642462177745
2,0.008,0.8424239843373016,0.04806462820881893
2,0.009000000000000001,0.8426437649416727,0.04891294560184708
2,0.01,0.8413160832501754,0.046636034631099846
2,0.011,0.8416828322579017,0.04935101898691543
2,0.012,0.8405584582996785,0.04602959164718197
2,0.013000000000000001,0.8383879918035475,0.048816823156960974
2,0.014000000000000002,0.8388146740188642,0.050122141705471544
2,0.015,0.8378177934425647,0.04942861042758878
2,0.016,0.8342417470396137,0.04799958034801735
2,0.017,0.8345711813627058,0.04808187494229481
2,0.018000000000000002,0.8301998636090147,0.048176142271816456
2,0.019,0.8304925052677439,0.04781000796893156
2,0.02,0.8284235109913906,0.04834463885757121
3,0.005,0.8392964867412235,0.05044179657276942
3,0.006,0.840674423867766,0.04936168476776154
3,0.007,0.8435566539337033,0.04942760827658075
3,0.008,0.8425315622428148,0.04861943886712771
3,0.009000000000000001,0.8422705406778483,0.04821148165909099
3,0.01,0.8426925102223953,0.049033024984789696
3,0.011,0.8401969418509408,0.04967547668845438
3,0.012,0.8396375127247749,0.04755688870606459
3,0.013000000000000001,0.8391721048722866,0.04873583938733005
3,0.014000000000000002,0.8389927111689016,0.047792259251850884
3,0.015,0.8393348683890348,0.04929609988200057
3,0.016,0.8358411794529542,0.047484959104421104
3,0.017,0.8356385095118773,0.04981027937327
3,0.018000000000000002,0.8330279463760033,0.05184966803658153
3,0.019,0.8324747158695515,0.049641560233206726
3,0.02,0.829371808780941,0.049223637269822026
4,0.005,0.8400057175168445,0.050020692699221804
4,0.006,0.8391498953658431,0.04986838395865799
4,0.007,0.8412757891990217,0.05000005633645592
4,0.008,0.8410648937283319,0.04882451391271372
4,0.009000000000000001,0.8419269489332278,0.049874957581675074
4,0.01,0.8452706799899389,0.04754771632145293
4,0.011,0.8402482608140699,0.05106802859299522
4,0.012,0.8416387196577265,0.04812104613523718
4,0.013000000000000001,0.8432588051534098,0.04648739270552737
4,0.014000000000000002,0.8410546169186912,0.04847459952101253
4,0.015,0.8390364158454353,0.048544438141526494
4,0.016,0.8395176689644728,0.048108914441933916
4,0.017,0.8349643165282065,0.05077880200764164
4,0.018000000000000002,0.8352274062046048,0.04917341264772245
4,0.019,0.8339579163070739,0.04929320689577475
4,0.02,0.8317029389944348,0.049940864959059895
5,0.005,0.8393412070964601,0.053437972090696714
5,0.006,0.8430985345897681,0.04797931162880364
5,0.007,0.8434963578905468,0.048917597002043935
5,0.008,0.8427441836961066,0.049227790373260034
5,0.009000000000000001,0.8434184039454641,0.04807833761928111
5,0.01,0.8430811229483229,0.04736720908333264
5,0.011,0.8441017601069324,0.04871149816512415
5,0.012,0.8434898840463743,0.04639044035327929
5,0.013000000000000001,0.8416974919572451,0.04845841481315283
5,0.014000000000000002,0.8395579072551307,0.045738146344252474
5,0.015,0.8400930033522412,0.04780590013237611
5,0.016,0.8363129310309212,0.05013393594561496
5,0.017,0.835437123266243,0.04789250228829787
5,0.018000000000000002,0.8333728781280548,0.04736190170391232
5,0.019,0.8306690556027441,0.049498607969240965
5,0.02,0.8296118701213863,0.05038230668226367
6,0.005,0.8414984767347906,0.04999020743867665
6,0.006,0.8444050959592764,0.04984493426148519
6,0.007,0.8434494700526143,0.04772912986231588
6,0.008,0.8437921687518276,0.04841575007678676
6,0.009000000000000001,0.8430924458070465,0.04751328830264221
6,0.01,0.8437419325669131,0.049802959102406875
6,0.011,0.8428807883054809,0.04940486825073554
6,0.012,0.841745588575275,0.04770691582151727
6,0.013000000000000001,0.8405085321533958,0.048189901565058674
6,0.014000000000000002,0.8416897289355211,0.048504118217015266
6,0.015,0.8373135685212749,0.04946168091525924
6,0.016,0.8367066223323947,0.049369828292686435
6,0.017,0.8317134621667005,0.05092654179373624
6,0.018000000000000002,0.8327484741169927,0.04906792308752375
6,0.019,0.8307574258270576,0.04926330991272099
6,0.02,0.8303277115419897,0.05114553646131282
7,0.005,0.841361635384079,0.05019568801421239
7,0.006,0.8405539974975196,0.050720828999988504
7,0.007,0.8443331453888071,0.04847003504704776
7,0.008,0.8425283088372366,0.05074363841028321
7,0.009000000000000001,0.8433277953334207,0.04860294428151629
7,0.01,0.8457818890560873,0.046375548610083556
7,0.011,0.8452590813795992,0.04758084407449825
7,0.012,0.8428165612138551,0.048645149682933105
7,0.013000000000000001,0.8401572828504159,0.049747756012331765
7,0.014000000000000002,0.8395564334638246,0.04802171164158592
7,0.015,0.8382407375554263,0.04796331429180257
7,0.016,0.8356682568434803,0.04942625890119128
7,0.017,0.833219466219837,0.04857238023316258
7,0.018000000000000002,0.832842911091369,0.04850528627071529
7,0.019,0.8310827098978963,0.049582345817575424
7,0.02,0.8298192577805326,0.04855637498821914
