neurons,weight_decay,mean,std_dev
1,0.0,0.6957114899262774,0.09593220001176574
1,0.002,0.7654589488660826,0.0723722968088413
1,0.004,0.774813879485917,0.07016446154226287
1,0.006,0.7807697473316796,0.06556996569007995
1,0.008,0.7788625971172682,0.06489069302328285
1,0.01,0.7859574584211952,0.05832266980108584
1,0.012,0.7860966834040426,0.05974359910255936
1,0.014,0.7891808962462337,0.06615650914757223
1,0.016,0.7886929390159745,0.061180036489824854
1,0.018000000000000002,0.7915547312594936,0.05933888692886485
1,0.02,0.7904006304439664,0.05687918960352357
1,0.022,0.7899210827646521,0.05783247113617372
1,0.024,0.7872878531788169,0.06064789023902339
1,0.026000000000000002,0.7880019834951619,0.061125987231095844
1,0.028,0.7871142424060023,0.063632336892762
1,0.03,0.7909697724641379,0.05938815983428651
1,0.032,0.7841156528513797,0.05919565140576176
1,0.034,0.7891269623973667,0.06107066146481676
1,0.036000000000000004,0.7853573930689541,0.06130177756130141
1,0.038,0.7900335561477272,0.05280861479771205
1,0.04,0.7881675624901493,0.058698039034055835
1,0.042,0.7882866680556339,0.05670508308369368
1,0.044,0.7857635648819694,0.06275635231681112
1,0.046,0.7874490879734082,0.06266216172648545
1,0.048,0.7810523835264811,0.06287250673428633
1,0.05,0.7853065510060262,0.06133914852009768
2,0.0,0.6974002545168536,0.08977223594249487
2,0.002,0.8018186487214726,0.06967212817545854
2,0.004,0.8339591992669484,0.053615988540165097
2,0.006,0.8399546954356556,0.0544920670525469
2,0.008,0.8415339873290599,0.06038477862769554
2,0.01,0.8368963480729962,0.06150539914458264
2,0.012,0.836804164825401,0.061299502850157186
2,0.014,0.831956475711123,0.06087410773888613
2,0.016,0.82793583125903,0.05996764763415184
2,0.018000000000000002,0.8254815091033468,0.059822144470600275
2,0.02,0.820600452276343,0.059982024332233624
2,0.022,0.81447117194338,0.06080361580035383
2,0.024,0.8145194637988153,0.062476476866029904
2,0.026000000000000002,0.8098031705220055,0.06394219967474615
2,0.028,0.8089018105204422,0.06058054417307338
2,0.03,0.8023901892760334,0.06796385519503505
2,0.032,0.8028214142646635,0.061288407402079526
2,0.034,0.8020372373091291,0.06302929847235879
2,0.036000000000000004,0.8000392222073841,0.06298473408317327
2,0.038,0.7979294961385646,0.061776596784948186
2,0.04,0.7948970473841637,0.060567318187380634
2,0.042,0.7972270277401317,0.06215161620867467
2,0.044,0.7993985865997115,0.05752966247372868
2,0.046,0.7960168433439481,0.0561078811702862
2,0.048,0.7976019277929098,0.06224602627833928
2,0.05,0.7944438248649806,0.059936120893622526
3,0.0,0.7093354411274486,0.08130936580508828
3,0.002,0.8110061236005395,0.06962405107650274
3,0.004,0.8266111683948301,0.06670153839249506
3,0.006,0.8372386534280447,0.06119363985204745
3,0.008,0.8415487156517893,0.05868574944407847
3,0.01,0.8397730784425927,0.05858020951191465
3,0.012,0.8372111951371751,0.060084941750663104
3,0.014,0.8337961517610871,0.059448546745888196
3,0.016,0.8316570926043638,0.057770631558785264
3,0.018000000000000002,0.8293253668613088,0.05840964479533649
3,0.02,0.8204843242835408,0.06131665414008316
3,0.022,0.8207381015400721,0.06093856034034296
3,0.024,0.8191450810567855,0.06071481350670539
3,0.026000000000000002,0.8133517107796925,0.06017633052276161
3,0.028,0.8106160700686734,0.06199521441128624
3,0.03,0.8099600286156132,0.06386822089812481
3,0.032,0.8074570702133155,0.0608146585878101
3,0.034,0.8049433998591533,0.06032152616445272
3,0.036000000000000004,0.8048218478030005,0.060278605953567266
3,0.038,0.8052682727204516,0.058616197543711154
3,0.04,0.801893811082429,0.06324507370500614
3,0.042,0.8025021721115548,0.061294442849596086
3,0.044,0.8020842271751982,0.06386387578543405
3,0.046,0.8000955510798349,0.06377894330949244
3,0.048,0.8012700566427464,0.0595719679623383
3,0.05,0.7988016420375681,0.06021391280998722
4,0.0,0.7078191988041684,0.08630619410091399
4,0.002,0.8003390385682763,0.07531545429760722
4,0.004,0.8305438791477164,0.06078958346999313
4,0.006,0.835581099916486,0.056991636328472824
4,0.008,0.8353518835765303,0.06011084999404178
4,0.01,0.8373532766646513,0.05725843269955799
4,0.012,0.8382306835509412,0.05682443020247598
4,0.014,0.835093923308537,0.05939643566652578
4,0.016,0.8252125835134714,0.06312100875436392
4,0.018000000000000002,0.8257454011575533,0.06335110789392726
4,0.02,0.8225924550887023,0.0607688443280132
4,0.022,0.818459316130965,0.061232236413956725
4,0.024,0.819757199479095,0.05992736985899276
4,0.026000000000000002,0.8145616867414658,0.06393852692499148
4,0.028,0.8154251702621157,0.06167488806810215
4,0.03,0.8126284019973018,0.06054644376792027
4,0.032,0.8073443045188882,0.06350727752676313
4,0.034,0.8081329957802565,0.05959181306946793
4,0.036000000000000004,0.8020784951914257,0.06697155472258591
4,0.038,0.8073384609343748,0.06158864425280243
4,0.04,0.8080955769789455,0.05903304682948116
4,0.042,0.8061649713058082,0.05893053768893196
4,0.044,0.8044664315619636,0.05741867300760593
4,0.046,0.8018449590251278,0.06389300907060887
4,0.048,0.8003748205985683,0.06356976539338297
4,0.05,0.8017824013672696,0.065826140391659
