neurons,spread,mean,std_dev
50,50,0.2437445648791912,0.19298395017322267
50,100,0.28510193718424576,0.22087172935613034
50,150,0.35491131570773493,0.20262682148985198
50,200,0.3830239596483902,0.16854181598717427
50,250,0.4089878404786645,0.16485812257512886
50,300,0.4708223227710679,0.1752780031207428
50,350,0.5345599762339536,0.11617102036157907
50,400,0.5176319302863295,0.14506658428381236
50,450,0.4407429428080043,0.1778236702155172
50,500,0.5122460534108986,0.21168499704263014
50,550,0.5718116383373464,0.08426060800451053
50,600,0.543096080300456,0.11747218100235432
50,650,0.48940713541736836,0.20266643959871644
50,700,0.519677789025419,0.18699131575791877
50,750,0.5672505002857398,0.14255461709017272
50,800,0.5487078144290622,0.1394657432769736
50,850,0.5115683589238297,0.13763714091815518
50,900,0.45730206136310414,0.222855977847573
50,950,0.5581278473723129,0.13930418630591831
50,1000,0.5819103269789542,0.11918379985516589
100,50,0.10642326768635801,0.20809729112900252
100,100,0.2936983260549847,0.20535508618665782
100,150,0.3976167581198256,0.12448670150601834
100,200,0.39189360330829504,0.2463203956574593
100,250,0.58456965044269,0.11121364247051103
100,300,0.5657091914501609,0.17462178943406764
100,350,0.5895063710967036,0.09097675550773748
100,400,0.5404319383539431,0.1755426575497716
100,450,0.5115831366514081,0.1470013487435635
100,500,0.5842304394841341,0.14842236402380632
100,550,0.6051683598327258,0.1436292989799129
100,600,0.5978699511378751,0.14126349250910775
100,650,0.5396937920461498,0.12765689244766193
100,700,0.5660667574991629,0.1256566905313201
100,750,0.5465176463990136,0.15077084445058406
100,800,0.5211224540808359,0.10945185633928314
100,850,0.5033883631521191,0.15119965624235365
100,900,0.5650867198055024,0.13977833834830544
100,950,0.5390140169629305,0.1664512920538398
100,1000,0.5087674280384047,0.1018237010213249
150,50,0.18647166825600747,0.17652774534128676
150,100,0.2974857222346681,0.27654199781848765
150,150,0.4064323575766263,0.15993526895532845
150,200,0.4341631110377849,0.18940265919111743
150,250,0.5129890027114047,0.1333056121997278
150,300,0.5033842591467045,0.14547663554729923
150,350,0.5534869817405965,0.16687643279835795
150,400,0.5053937520736131,0.1683397355427766
150,450,0.49773972901055274,0.1317788323221372
150,500,0.5356042976685664,0.15940493921618645
150,550,0.5245495345596105,0.1295425207384463
150,600,0.5900614278970371,0.13058893227400856
150,650,0.5322407701303478,0.1053974639534665
150,700,0.5453039131089421,0.14927491910952792
150,750,0.501610569101753,0.11822659553934646
150,800,0.5233031976263098,0.1013335502703952
150,850,0.568503002777951,0.11728872913307475
150,900,0.5506909119573515,0.13915497431680682
150,950,0.5292439772090906,0.10039510757573426
150,1000,0.49037843697495487,0.1323317965077448
200,50,0.13087234975727413,0.23226882342757915
200,100,0.3615597384073578,0.19033967717889844
200,150,0.3918095077671012,0.22160745960045675
200,200,0.4895754472476763,0.12333324693970839
200,250,0.5124985825330443,0.16408523783571102
200,300,0.5267204911004156,0.1297731525052704
200,350,0.5647746119083263,0.09703175218442918
200,400,0.535118291329173,0.1437620920340379
200,450,0.5417472135446213,0.17132386515026973
200,500,0.5665730477332849,0.13422580002366474
200,550,0.5563402568771921,0.10967685250428036
200,600,0.4898985335802722,0.13792262290531906
200,650,0.4617452330751365,0.13121433794264367
200,700,0.4926083176535738,0.14482050177603698
200,750,0.4702482293384762,0.11409207398984378
200,800,0.5275727233432663,0.1276201486538051
200,850,0.5364007475692132,0.14801917420083302
200,900,0.5110670388087517,0.14220658622278345
200,950,0.5418781066348948,0.1213232500838541
200,1000,0.537173701514295,0.1178861414231727
250,50,0.18964869743636345,0.20642374086294707
250,100,0.38403953663641155,0.1683068265895232
250,150,0.48483001120987745,0.17807362351327172
250,200,0.5154052078336515,0.1694416290857108
250,250,0.5539299113961779,0.12346356624501142
250,300,0.5191564480254176,0.14941713672767917
250,350,0.5682861874285059,0.1325276397520873
250,400,0.5329038951407385,0.1504144049252005
250,450,0.5909388641264206,0.16177542429572092
250,500,0.5306410049228132,0.16617346389235374
250,550,0.5778634168432375,0.12403274597775993
250,600,0.5407260452585567,0.10157815649745913
250,650,0.5278865382225709,0.1263470181406965
250,700,0.5481421086131235,0.1681427185262211
250,750,0.44786733837275144,0.1395642506130576
250,800,0.5316981207598044,0.09533587256227079
250,850,0.5443961402999945,0.12398160207200803
250,900,0.5538882926656536,0.1366295454993049
250,950,0.4673324729208982,0.17420237279535974
250,1000,0.49767124812184643,0.17038353235993367
