,id,TYM,SGNC,SGNO
108,CH112,-15.92151565,-6.084545026,-0.290631066
109,CH113,-0.39460338,2.185736744,0.281867867
110,CH114,16.1027409,-3.540516771,0.129632206
111,CH115,11.25058082,-1.949404141,-6.659410336
112,CH116,6.883636745,-1.535108209,-2.727940583
113,CH117,1.546260653,0.403117807,-2.106858862
114,CH118,8.824500778,4.173422316,-1.720423922
115,CH119,2.031476661,6.306890966,8.26375652
116,CH120,2.031476661,-0.234946388,0.953780948
117,CH121,-13.4954356,-1.786932137,-1.987396161
118,CH122,-16.89194766,-8.54507663,-10.3008456
119,CH123,-17.37716367,-13.33926345,-12.09193774
120,CH124,8.824500778,-0.233285395,-4.101672829
121,CH125,10.2801488,-4.99387799,-1.990432052
122,CH126,7.368852753,3.444257883,5.43016474
123,CH127,1.546260653,1.286793074,4.232159797
124,CH128,19.01403695,7.151157009,5.901228716
125,CH129,8.824500778,-1.215814147,6.048779652
126,CH130,15.61752489,8.068760786,4.016972815
127,CH131,-13.98065161,-7.702643633,-11.69030169
128,CH132,-7.187627497,1.963416939,6.628041564
129,CH133,-12.52500359,0.405048657,9.358923979
130,CH134,-8.643275522,5.249311303,8.021016604
131,CH135,-12.52500359,-4.417309089,-0.589301586
132,CH137,3.001908678,-0.608206163,2.552874524
133,CH138,-14.95108363,-1.05046047,-4.790604666
134,CH139,18.52882094,8.229990331,2.589486966
135,CH140,-2.820683422,4.979679652,5.279294901
136,CH141,13.67666086,-0.762240128,3.447331162
137,CH142,1.061044645,-7.343066165,-10.51416762
138,CH143,-8.158059513,-0.068839961,0.403052332
139,CH144,-8.158059513,-0.011202031,2.752513669
140,CH145,-16.40673165,-2.545325817,4.584683404
141,CH146,-8.643275522,2.904891681,6.971477199
142,CH147,-15.92151565,-7.396029352,-2.755424713
143,CH148,-17.37716367,-7.021170452,-6.626199964
144,CH149,10.2801488,-1.6685335,5.384653262
145,CH150,8.339284769,4.865297741,-1.214928683
146,CH151,-14.95108363,-0.26955209,-7.126391945
147,CH152,13.19144485,-2.226983634,-6.817498614
148,CH153,-17.37716367,-5.41495132,-0.811432931
149,CH154,6.398420736,5.446604482,9.816152964
150,CH155,-14.95108363,0.747426871,-1.546106151
151,CH156,3.001908678,2.816847863,-9.379557641
152,CH157,10.2801488,-5.98743313,-7.993111214
153,CH159,14.16187687,3.706723456,1.387484033
154,CH160,-0.879819389,-4.817624138,-2.210209
155,CH161,-14.95108363,-5.462501985,-1.586937803
156,CH163,15.61752489,5.519127265,-1.435841678
157,CH164,20.46968498,8.290801017,-5.191063023
158,CH165,-13.4954356,-4.500607612,-3.80317296
159,CH166,14.16187687,-5.904756292,5.937215459
160,CH168,-2.820683422,-1.68791091,-3.866140841
161,CH169,8.824500778,11.35496218,2.3421578
162,CH170,18.52882094,5.052716845,-0.930399923
163,CH171,-7.672843505,-1.05046047,5.546704224
164,CH172,-8.643275522,5.421933959,8.909013289
165,SA2,-21.60167041,0.89501718,-3.962538833
166,SA3,-4.12046709,3.654298936,11.31283266
167,SA4,-16.40455591,-4.589386756,-5.03149057
168,SA5,-17.82195078,2.128595891,6.067185942
169,SA6,-16.40455591,-7.680688979,-7.667426242
170,SA7,-15.93209096,4.856935009,-7.31163593
171,SA8,-13.56976618,6.057691858,-8.73158092
172,SA9,-19.71181059,-2.536247071,-7.251225872
173,SA10,-14.98716105,-3.726229224,-4.476556744
174,SA11,7.691156777,-6.732413191,-4.130820515
175,SA12,-7.900186727,-4.134747356,-6.155503483
176,SA13,0.604182457,-7.135331429,-2.801375072
177,SA15,49.26807279,5.069872673,0.301559097
178,SA16,-8.845116636,-1.082347516,2.151268304
179,SA17,-20.6567405,-1.460776592,-0.482890699
180,SA20,46.90574802,9.299367416,-0.084952286
181,SA21,30.3694746,-10.28767687,-3.475213355
182,SA22,-13.56976618,7.982871498,9.396788896
183,SA23,-16.87702087,3.416955536,4.818584835
184,SA24,10.99841146,13.53275889,19.06358999
185,SA25,-16.40455591,10.64709704,-4.028606217
186,SA26,-0.813212407,7.771111524,2.411959578
187,SA27,-16.87702087,-6.108147111,-2.395554898
188,SA28,-14.98716105,-1.966241812,-4.328032941
189,SA29,-21.60167041,-3.242332361,-3.036327655
190,SA30,-18.76688068,-3.268088255,-1.56315416
191,SA31,8.163621732,8.020776473,8.425654701
192,SA32,-16.40455591,-8.003975796,-7.806159698
193,SA33,14.7781311,-0.039017506,7.024550367
194,SA34,4.856367049,-8.078665619,3.84745064
195,SA35,-6.010326908,1.435896561,6.880453046
196,SA36,-21.60167041,-0.378563421,-4.573263266
197,SA37,35.09412415,-0.889950944,0.423390466
198,SA38,-18.76688068,0.184565446,4.316545534
199,SA39,-19.23934564,-1.945560001,2.821470479
200,SA40,-4.592932044,-4.380517139,-3.921622919
201,SA41,-6.010326908,-1.786039249,-0.961102797
202,SA42,-14.51469609,5.807587673,-5.308957483
203,SA43,47.37821297,1.619656568,5.735904408
204,SA44,44.54342324,3.886951739,-1.455352091
205,SA45,39.8187737,-11.2469122,-6.66731295
206,SA46,41.23616856,-1.001466441,-1.073576774
207,SA47,-8.372651682,5.176785983,13.09385289
208,SA48,-17.82195078,0.36811554,8.63254253
209,SA49,-3.17553718,-2.337642692,5.928452486
210,SA50,-18.76688068,-9.150126174,-7.373817177
211,SA51,51.63039756,-1.260274514,1.072781512
212,SA52,2.021577321,-4.679048102,-2.318132838
213,SA53,-20.18427555,-0.39129522,2.19212802
214,SA54,2.966507231,9.314997307,1.885366899
215,SA55,-23.01906528,-13.38975617,-6.283736646
216,SA56,-18.76688068,-12.45248538,-8.699947819
217,SA57,-16.87702087,1.213992214,0.259159081
218,SA58,-7.900186727,-4.674074059,-7.31163593
219,SA59,31.31440451,-5.162601129,-5.825908723
220,SA60,37.92891388,-9.934728212,0.545221836
221,SA61,-20.6567405,4.663951775,-8.638560436
222,SA62,-5.065396999,4.203817776,7.367778523
223,SA63,41.70863351,-9.336296137,-3.787048405
224,SA64,3.91143714,2.361388256,9.302475532
225,SA65,-20.18427555,-1.079480956,-8.083626611
226,SA66,-20.18427555,-6.308007192,0.101647317
227,SA67,-20.18427555,-3.546200208,3.431250271
228,SA68,1.549112367,-0.57131092,1.838916587
229,SA69,-5.537861954,4.732530558,17.35795082
230,SA70,37.45644892,-2.574816821,-2.534288355
231,SA74,-16.40455591,2.089477833,-8.470299502
232,SA75,-17.34948582,-3.156812054,-3.782889462
233,SA76,43.59849333,6.295528684,-2.5005624
234,SA77,-21.12920546,0.447854568,-7.692860973
235,SA78,-4.592932044,12.65724483,12.01110126
236,SA79,-3.648002135,11.58648424,-1.282248706
237,SA80,-21.12920546,-2.658520238,-1.979354529
238,SA81,42.18109847,6.816978084,1.90518225
239,SA82,-20.6567405,-3.094275701,5.928452486
240,SA83,-22.07413537,-2.244624918,-7.112492416
241,SA85,29.42454469,-6.001756622,5.418476613
242,SA86,34.62165919,6.974406545,1.609219854
243,SA88,35.09412415,15.3985986,9.317080434
244,SA89,42.18109847,-10.00898232,-2.084349171
245,SA93,-2.703072226,-0.455259329,-3.125764334
246,SA94,-21.12920546,-5.07747675,-1.424420703
247,SA95,-20.6567405,5.925831315,-4.060356375
248,SA96,-18.29441573,-0.263721605,-8.777293893
249,SA97,-8.372651682,15.01088895,3.986184096
250,SA98,-19.23934564,2.977746496,-4.892757114
251,SA99,56.35504711,21.60211255,9.682574542
252,SA100,-9.790046546,3.42344729,-0.592019965
253,SA101,45.0158882,1.054063244,-0.592019965
254,SA102,9.108551641,5.203805212,3.253492544
255,SA103,-15.93209096,-2.115875054,-2.673021811
256,SA105,30.84193956,2.655152073,9.363285149
257,SA106,-17.82195078,-4.728547261,1.766448794
258,SA107,10.99841146,3.481036149,8.7543739
259,SA108,15.72306101,-1.04281433,9.008590304
260,SA109,-18.29441573,-4.740010079,-2.534288355
261,SA110,20.44771055,0.979805834,9.396788896
262,SA111,-19.71181059,-1.953858442,-4.754023657
263,SA112,-20.6567405,-2.600737478,-6.10905317
264,SA113,-18.29441573,-1.962351401,-1.146953791
265,SA114,-15.93209096,1.031637871,3.63478152
266,SA115,3.438972185,-1.26230668,13.38150107
267,SA116,-13.09730123,-3.179133546,1.90518225
268,SA117,42.65356342,5.708125539,9.296090507
269,SA118,-17.82195078,-2.920506549,1.211514968
270,SA119,-14.98716105,-2.78975222,-0.519354007
271,SA120,37.45644892,4.67772385,9.729024855
272,SA121,-19.23934564,0.051663645,-0.314553052
273,SA122,-15.93209096,-1.034307951,-8.777293893
274,SA123,-10.2625115,-3.754543142,1.766448794
275,SA124,1.549112367,-2.133809741,3.986184096
276,SA125,40.76370361,4.628878343,-2.013236922
277,SA126,-14.98716105,1.027956666,-1.351648368
278,SA127,-10.73497646,-7.843684909,0.795314599
279,SA128,-18.76688068,-2.156883185,6.622119768
280,SA129,-10.2625115,-3.105192099,3.129725525
281,SA131,41.70863351,1.263555056,4.818584835
282,SA132,-1.285677362,2.082188602,4.541117922
283,SA133,59.66230179,2.277237806,-0.193552716
284,SA134,37.92891388,-10.16730079,-9.664752977
285,SA135,-22.54660032,-8.370976226,-8.916027349
286,SA136,-0.813212407,3.774172153,5.464926925
287,SA137,38.40137883,-1.240263375,2.304257181
288,SA138,41.70863351,-6.870416304,-7.742867725
289,SA139,-9.317581591,10.66469432,4.402384466
290,SA140,36.98398397,-2.469306838,0.240849005
291,SA141,-6.482791863,21.64514162,-0.453286509
292,SA143,-16.40455591,-2.126440692,-4.199089832
293,SA145,-13.09730123,-9.498157232,3.569983727
294,SA146,-19.23934564,-6.670635897,-8.916027349
295,SA147,-6.482791863,-1.082347516,-4.93056586
296,SA148,-18.76688068,-3.783184625,4.263651009
297,SA150,40.76370361,7.960517119,3.390261484
